,F1-Macro,F1-Accuracy,F1-Weighted,Execution Time
MultinomialNB,0.9998484100750745,0.9998484848484849,0.9998484859542888,22.38500452041626
StackingClassifier,0.9998484100750745,0.9998484848484849,0.9998484859542888,94.52404618263245
LinearSVC,0.9995485130832666,0.9995454545454545,0.9995455193930646,27.261466026306152
ComplementNB,0.9981593941555803,0.9981818181818182,0.9981858710938624,23.27174139022827
SGDClassifier,0.9994728613370781,0.999469696969697,0.9994697921756275,26.462303161621094
RidgeClassifier,0.9993215990061554,0.9993181818181818,0.9993183724330315,100.04152274131775
