,F1-Macro,F1-Accuracy,F1-Weighted,Execution Time
ComplementNB,0.9986199431603976,0.9986363636363637,0.9986387406554238,24.207252979278564
LinearSVC,0.9995485130832666,0.9995454545454545,0.9995455193930646,28.811248302459717
SGDClassifier,0.9995485130832666,0.9995454545454545,0.9995455193930646,29.77296209335327
MultinomialNB,0.9995467611609867,0.9995454545454545,0.9995453609953555,25.663713216781616
RidgeClassifier,0.9994691545264515,0.999469696969697,0.9994697965147751,73.89740943908691
